,City,Country,Continent,Housing,Cost of Living,Commute,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Outdoors,Average Score,Air Quality,Air Quality Level
86,Eugene, Oregon,North America,6.713,5.021,5.627000000000001,6.171500000000001,6.566666666666666,4.1735,8.231,6.5145,3.9205,4.756000000000001,2.9560000000000004,3.533,5.348638888888889,13,Good
87,Florence, Italy,Europe,6.775,4.649,6.0287500000000005,7.9725,8.163666666666666,4.058000000000001,6.009000000000001,3.3625,2.4365,4.4415,8.503499999999999,1.6769999999999998,5.339743055555556,21,Good
88,Florianopolis, Brazil,South America,9.0595,8.331000000000001,4.78775,6.525,5.432999999999999,1.0165000000000002,4.943999999999999,2.187,2.8525,3.185,5.33,5.751,4.950187499999999,,
89,Fort Collins, Colorado,North America,2.744500000000001,0.0,2.0075000000000003,6.935499999999999,6.831,4.1735,9.95325,6.5145,4.346,5.301999999999999,2.746,6.1865000000000006,4.811687500000001,25,Good
90,Frankfurt, Germany,Europe,5.957,5.143,5.923,6.8375,7.707333333333334,5.2065,6.4755,5.373500000000001,3.9035,4.079,6.492,5.384,5.706819444444445,20,Good
91,Fukuoka, Japan,Asia,4.01,0.0,0.0,9.945,9.098,5.5275,7.915999999999999,3.7235,6.033,4.575000000000001,5.8605,5.6815,5.197500000000001,30,Good
92,Galway, Ireland,Europe,6.275500000000001,4.9270000000000005,5.68975,8.89,7.069999999999999,5.0075,7.51875,7.514500000000001,6.254999999999999,7.637499999999999,1.1150000000000002,3.7125,5.96775,,
93,Gdansk, Poland,Europe,8.508,8.126999999999999,5.861,8.0405,6.855666666666666,4.6615,7.794500000000001,4.7615,5.097,5.036,5.515,5.025,6.273555555555554,26,Good
94,Geneva, Switzerland,Europe,1.0775,1.0,6.003,8.427,7.443,5.186,8.601750000000001,6.552,6.4285000000000005,8.378499999999999,5.244000000000001,6.5535,5.907895833333334,22,Good
95,Gibraltar, Gibraltar,Europe,1.112,0.0,0.0,9.3375,3.023333333333333,0.0,5.1835,0.0,2.9130000000000003,4.296,2.235,4.7565,2.7380694444444447,18,Good
96,Glasgow, United Kingdom,Europe,6.9285000000000005,5.623,5.35225,7.496,8.813333333333333,5.306500000000001,7.100999999999999,5.438,5.9545,4.252999999999999,4.671000000000001,3.740999999999999,5.889840277777779,8,Good
97,Gothenburg, Sweden,Europe,6.725,5.046000000000001,5.96875,7.296,8.101666666666667,4.7775,8.58975,5.694499999999999,2.7495000000000003,6.1925,4.0045,4.5685,5.8095138888888895,28,Good
98,Grenoble, France,Europe,7.505000000000001,4.317,5.52575,5.8875,9.063,4.549,6.151,4.2045,2.648000000000001,3.758,3.1785,4.646,5.119437500000001,7,Good
99,Guadalajara, Mexico,North America,9.527,9.49,4.3455,6.472000000000001,7.034333333333333,1.2095,3.34325,3.5005,4.333500000000001,4.0925,7.657,3.4765000000000006,5.373465277777778,35,Good
100,Guatemala City, Guatemala,North America,8.8125,8.175,0.5237499999999999,6.139,4.763666666666666,0.0,3.75775,3.805,8.505,2.506,5.1645,4.1335,4.690472222222223,5,Good
101,Halifax, Canada,North America,6.895000000000001,4.9430000000000005,5.402750000000001,7.188500000000001,7.885666666666666,5.42,7.618499999999999,5.8405000000000005,7.2745000000000015,6.123500000000001,3.942,4.023,6.046409722222222,50,Good
102,Hamburg, Germany,Europe,5.944500000000001,4.904,5.8265,6.4590000000000005,8.129999999999999,4.306500000000001,8.123999999999999,5.373500000000001,3.9035,5.560499999999999,6.3525,5.088,5.831041666666667,20,Good
103,Hannover, Germany,Europe,7.754000000000001,6.000000000000001,6.54975,7.352500000000002,8.133666666666667,4.834,9.13125,5.373500000000001,3.9035,5.666,3.5255,4.2665,6.040847222222222,18,Good
104,Havana, Cuba,North America,9.089,7.607999999999999,0.0,8.6335,6.999666666666665,0.0,3.86225,2.5495000000000005,0.5,1.703,2.0700000000000003,5.0225,4.003118055555556,,
105,Helsinki, Finland,Europe,5.396000000000001,4.121,5.77925,8.674000000000001,7.953666666666665,5.4545,9.301,3.921,4.8785,5.1035,7.054500000000001,4.797999999999999,6.036243055555556,19,Good
106,Ho Chi Minh City, Vietnam,Asia,8.618,8.844000000000001,5.1835,6.767500000000001,5.540333333333333,4.116499999999999,1.4197499999999998,4.8345,5.045,4.565,5.874000000000001,1.2575,5.172131944444446,63,Moderate
107,Hong Kong, Hong Kong,Asia,1.0,4.967,5.54025,9.3505,4.154000000000001,9.711,4.53325,6.4825,8.380499999999998,6.2275,7.0585,5.796,6.100083333333334,43,Good
108,Honolulu, Hawaii,North America,2.3415000000000004,2.867,4.1617500000000005,6.8565000000000005,6.430999999999997,4.2805,6.094000000000001,6.5145,4.204,6.158,7.622999999999999,5.917500000000001,5.2874375,9,Good
109,Houston, Texas,North America,5.224500000000001,6.162,4.03075,3.129,6.379,4.928,5.304500000000001,6.5145,4.772,6.248499999999999,7.144,5.385999999999999,5.435229166666667,25,Good
110,Hyderabad, India,Asia,10.0,10.0,4.632000000000001,8.1265,3.957333333333333,0.0,2.8405000000000005,5.5565,3.4145,5.540000000000001,4.271,3.2085000000000004,5.128902777777777,162,Unhealthy
